subject_id,subject_name,subject_category,grade_level,education_type,subject_description,total_students_enrolled_subject,total_tutors_offering_subject,last_updated
SUB00001,Mathematics,STEM,1,Saudi National (MOE),Mathematics for Grade 1 in the Saudi National (MOE) curriculum.,401,25,2025-11-16
SUB00002,Advanced Mathematics,STEM,1,Saudi National (MOE),Advanced Mathematics for Grade 1 in the Saudi National (MOE) curriculum.,591,57,2025-11-16
SUB00003,Physics,STEM,1,Saudi National (MOE),Physics for Grade 1 in the Saudi National (MOE) curriculum.,306,10,2025-11-16
SUB00004,Chemistry,STEM,1,Saudi National (MOE),Chemistry for Grade 1 in the Saudi National (MOE) curriculum.,300,57,2025-11-16
SUB00005,Biology,STEM,1,Saudi National (MOE),Biology for Grade 1 in the Saudi National (MOE) curriculum.,584,54,2025-11-16
SUB00006,Computer Science,STEM,1,Saudi National (MOE),Computer Science for Grade 1 in the Saudi National (MOE) curriculum.,160,71,2025-11-16
SUB00007,Statistics,STEM,1,Saudi National (MOE),Statistics for Grade 1 in the Saudi National (MOE) curriculum.,122,63,2025-11-16
SUB00008,Robotics,STEM,1,Saudi National (MOE),Robotics for Grade 1 in the Saudi National (MOE) curriculum.,346,46,2025-11-16
SUB00009,Engineering Fundamentals,STEM,1,Saudi National (MOE),Engineering Fundamentals for Grade 1 in the Saudi National (MOE) curriculum.,496,12,2025-11-16
SUB00010,Environmental Science,STEM,1,Saudi National (MOE),Environmental Science for Grade 1 in the Saudi National (MOE) curriculum.,70,61,2025-11-16
SUB00011,Earth Science,STEM,1,Saudi National (MOE),Earth Science for Grade 1 in the Saudi National (MOE) curriculum.,282,4,2025-11-16
SUB00012,Agriculture Technology,STEM,1,Saudi National (MOE),Agriculture Technology for Grade 1 in the Saudi National (MOE) curriculum.,65,73,2025-11-16
SUB00013,Technical Drawing,STEM,1,Saudi National (MOE),Technical Drawing for Grade 1 in the Saudi National (MOE) curriculum.,84,76,2025-11-16
SUB00014,Arabic,Language & Literature,1,Saudi National (MOE),Arabic for Grade 1 in the Saudi National (MOE) curriculum.,411,37,2025-11-16
SUB00015,English,Language & Literature,1,Saudi National (MOE),English for Grade 1 in the Saudi National (MOE) curriculum.,287,64,2025-11-16
SUB00016,French,Language & Literature,1,Saudi National (MOE),French for Grade 1 in the Saudi National (MOE) curriculum.,173,78,2025-11-16
SUB00017,Spanish,Language & Literature,1,Saudi National (MOE),Spanish for Grade 1 in the Saudi National (MOE) curriculum.,146,49,2025-11-16
SUB00018,German,Language & Literature,1,Saudi National (MOE),German for Grade 1 in the Saudi National (MOE) curriculum.,584,77,2025-11-16
SUB00019,Urdu,Language & Literature,1,Saudi National (MOE),Urdu for Grade 1 in the Saudi National (MOE) curriculum.,590,32,2025-11-16
SUB00020,Hindi,Language & Literature,1,Saudi National (MOE),Hindi for Grade 1 in the Saudi National (MOE) curriculum.,417,31,2025-11-16
SUB00021,Literature,Language & Literature,1,Saudi National (MOE),Literature for Grade 1 in the Saudi National (MOE) curriculum.,345,77,2025-11-16
SUB00022,Creative Writing,Language & Literature,1,Saudi National (MOE),Creative Writing for Grade 1 in the Saudi National (MOE) curriculum.,274,60,2025-11-16
